cluster,ownership,pct
0,Lease to others,5.882352941176471
0,Manage,11.764705882352942
0,Own,52.10084033613445
0,Rent,30.252100840336134
1,Lease to others,7.627118644067797
1,Manage,8.474576271186441
1,Own,45.76271186440678
1,Rent,38.13559322033898
2,Lease to others,12.295081967213115
2,Manage,7.377049180327869
2,Own,42.622950819672134
2,Rent,37.704918032786885
3,Lease to others,16.216216216216218
3,Manage,7.207207207207207
3,Own,36.93693693693694
3,Rent,39.63963963963964
4,Lease to others,9.23076923076923
4,Manage,12.307692307692308
4,Own,43.84615384615385
4,Rent,34.61538461538461
